country,indicator,date,value
POL,Inflation,2015-12-31,-0.874125874125862
POL,Inflation,2014-12-31,0.0538213132399802
POL,Inflation,2013-12-31,0.991982606332335
POL,Inflation,2012-12-31,3.56037151702793
POL,Inflation,2011-12-31,4.23940149625932
POL,Inflation,2010-12-31,2.58069370250548
POL,Inflation,2009-12-31,3.79539242483399
POL,Inflation,2008-12-31,4.16497193524779
POL,Inflation,2007-12-31,2.4587431238539
POL,Inflation,2006-12-31,1.28469394366416
POL,Inflation,2005-12-31,2.18379872390251
POL,Inflation,2004-12-31,3.38264681884699
POL,Inflation,2003-12-31,0.682701375787632
POL,Inflation,2002-12-31,1.90528215048054
POL,Inflation,2001-12-31,5.4083354556615
POL,Inflation,2000-12-31,9.90017538843065
POL,GDP growth,2025-12-31,3.5727250346774
POL,GDP growth,2024-12-31,3.02841630700273
POL,GDP growth,2023-12-31,0.249610834017872
POL,GDP growth,2022-12-31,5.25545697386036
POL,GDP growth,2021-12-31,6.92718266052501
POL,GDP growth,2020-12-31,-2.03556882399977
POL,GDP growth,2019-12-31,4.58045817256199
POL,GDP growth,2018-12-31,6.2458584723942
POL,GDP growth,2017-12-31,5.15245773325907
POL,GDP growth,2016-12-31,3.03117767594847
POL,GDP growth,2015-12-31,4.43176700264478
POL,GDP growth,2014-12-31,3.92050862390032
POL,GDP growth,2013-12-31,0.684240607051805
POL,GDP growth,2012-12-31,1.51178167644575
POL,GDP growth,2011-12-31,5.25546256612796
POL,GDP growth,2010-12-31,3.16892748258036
POL,GDP growth,2009-12-31,2.61512859291683
POL,GDP growth,2008-12-31,4.38377069274605
POL,GDP growth,2007-12-31,6.7604478527626
POL,GDP growth,2006-12-31,6.20210710934373
POL,GDP growth,2005-12-31,3.26082274679216
POL,GDP growth,2004-12-31,5.09079546409544
POL,GDP growth,2003-12-31,3.52337117234833
POL,GDP growth,2002-12-31,1.90119437968586
POL,GDP growth,2001-12-31,1.23374464400356
POL,GDP growth,2000-12-31,4.65633252988236
THA,Inflation,2025-12-31,-0.133634356480207
THA,Inflation,2024-12-31,0.398333333333422
THA,Inflation,2023-12-31,1.22908986612448
THA,Inflation,2022-12-31,6.07589952842433
THA,Inflation,2021-12-31,1.23104516549814
THA,Inflation,2020-12-31,-0.846087518861799
THA,Inflation,2019-12-31,0.705524801910317
THA,Inflation,2018-12-31,1.06683487370758
THA,Inflation,2017-12-31,0.664415139830893
THA,Inflation,2016-12-31,0.186235191075453
THA,Inflation,2015-12-31,-0.898143410569433
THA,Inflation,2014-12-31,1.89455652481545
THA,Inflation,2013-12-31,2.18617704418967
THA,Inflation,2012-12-31,3.00948610403357
THA,Inflation,2011-12-31,3.81191694558332
THA,Inflation,2010-12-31,3.24758842443725
