country,indicator,year,value
PRI,GDP growth,2029,0.8
PRI,GDP growth,2030,0.8
PRI,GDP growth,2031,0.8
PRI,Inflation,2027,2.385
PRI,Inflation,2028,2.384
PRI,Inflation,2029,2.165
PRI,Inflation,2030,2.072
PRI,Inflation,2031,2.073
PRI,Fiscal balance,2027,-0.352
PRI,Fiscal balance,2028,-0.552
PRI,Fiscal balance,2029,-0.166
PRI,Fiscal balance,2030,-0.154
PRI,Fiscal balance,2031,-0.142
PRI,Fiscal balance,2027,0.368
PRI,Fiscal balance,2028,0.13
PRI,Fiscal balance,2029,0.497
PRI,Fiscal balance,2030,0.491
PRI,Fiscal balance,2031,0.484
PRI,Gen gov debt,2027,19.343
PRI,Gen gov debt,2028,19.46
PRI,Gen gov debt,2029,19.186
PRI,Gen gov debt,2030,18.921
PRI,Gen gov debt,2031,18.648
SMR,GDP growth,2027,1.184
SMR,GDP growth,2028,1.28
SMR,GDP growth,2029,1.28
SMR,GDP growth,2030,1.28
SMR,GDP growth,2031,1.28
SMR,Inflation,2027,2.6
SMR,Inflation,2028,2.0
SMR,Inflation,2029,2.0
SMR,Inflation,2030,2.0
SMR,Inflation,2031,2.0
SMR,Fiscal balance,2027,-0.123
SMR,Fiscal balance,2028,0.543
SMR,Fiscal balance,2029,0.622
SMR,Fiscal balance,2030,0.489
SMR,Fiscal balance,2031,0.599
SMR,Fiscal balance,2027,1.45
SMR,Fiscal balance,2028,2.084
SMR,Fiscal balance,2029,2.107
SMR,Fiscal balance,2030,1.931
SMR,Fiscal balance,2031,1.968
SMR,Gen gov debt,2027,58.433
SMR,Gen gov debt,2028,55.628
SMR,Gen gov debt,2029,52.86
SMR,Gen gov debt,2030,50.308
SMR,Gen gov debt,2031,47.725
SGP,GDP growth,2027,2.667
SGP,GDP growth,2028,2.518
SGP,GDP growth,2029,2.486
SGP,GDP growth,2030,2.507
SGP,GDP growth,2031,2.5
SGP,Inflation,2027,1.871
SGP,Inflation,2028,1.971
SGP,Inflation,2029,1.971
SGP,Inflation,2030,1.971
SGP,Inflation,2031,1.971
SGP,Fiscal balance,2027,2.926
SGP,Fiscal balance,2028,2.492
SGP,Fiscal balance,2029,2.073
SGP,Fiscal balance,2030,1.804
SGP,Fiscal balance,2031,1.835
SGP,Gen gov debt,2027,172.655
SGP,Gen gov debt,2028,173.421
SGP,Gen gov debt,2029,173.86
SGP,Gen gov debt,2030,174.301
SGP,Gen gov debt,2031,174.745
SVK,GDP growth,2027,1.649
SVK,GDP growth,2028,2.573
SVK,GDP growth,2029,2.485
SVK,GDP growth,2030,2.226
SVK,GDP growth,2031,1.8
SVK,Inflation,2027,3.273
SVK,Inflation,2028,2.945
SVK,Inflation,2029,2.365
SVK,Inflation,2030,2.0
SVK,Inflation,2031,1.975
SVK,Fiscal balance,2027,-4.978
SVK,Fiscal balance,2028,-5.099
SVK,Fiscal balance,2029,-5.126
SVK,Fiscal balance,2030,-5.289
SVK,Fiscal balance,2031,-5.449
SVK,Fiscal balance,2027,-3.503
SVK,Fiscal balance,2028,-3.489
SVK,Fiscal balance,2029,-3.486
SVK,Fiscal balance,2030,-3.572
SVK,Fiscal balance,2031,-3.644
SVK,Gen gov debt,2027,65.458
SVK,Gen gov debt,2028,67.182
SVK,Gen gov debt,2029,69.378
SVK,Gen gov debt,2030,72.028
SVK,Gen gov debt,2031,75.033
SVN,GDP growth,2027,2.1
SVN,GDP growth,2028,2.2
SVN,GDP growth,2029,2.1
SVN,GDP growth,2030,2.1
SVN,GDP growth,2031,2.1
SVN,Inflation,2027,2.086
SVN,Inflation,2028,2.282
SVN,Inflation,2029,2.096
SVN,Inflation,2030,2.096
SVN,Inflation,2031,2.096
SVN,Fiscal balance,2027,-2.763
SVN,Fiscal balance,2028,-2.789
SVN,Fiscal balance,2029,-2.885
SVN,Fiscal balance,2030,-2.928
SVN,Fiscal balance,2031,-2.939
SVN,Fiscal balance,2027,-1.792
SVN,Fiscal balance,2028,-1.72
SVN,Fiscal balance,2029,-1.74
SVN,Fiscal balance,2030,-1.759
SVN,Fiscal balance,2031,-1.797
SVN,Gen gov debt,2027,65.381
SVN,Gen gov debt,2028,65.406
SVN,Gen gov debt,2029,65.842
SVN,Gen gov debt,2030,66.328
SVN,Gen gov debt,2031,67.075
ESP,GDP growth,2027,1.819
ESP,GDP growth,2028,1.825
ESP,GDP growth,2029,1.702
ESP,GDP growth,2030,1.702
ESP,GDP growth,2031,1.7
ESP,Inflation,2027,2.259
ESP,Inflation,2028,2.5
ESP,Inflation,2029,2.0
ESP,Inflation,2030,2.0
ESP,Inflation,2031,2.0
ESP,Fiscal balance,2027,-2.264
ESP,Fiscal balance,2028,-2.171
ESP,Fiscal balance,2029,-2.158
ESP,Fiscal balance,2030,-2.155
ESP,Fiscal balance,2031,-2.153
ESP,Fiscal balance,2027,0.144
ESP,Fiscal balance,2028,0.295
ESP,Fiscal balance,2029,0.346
ESP,Fiscal balance,2030,0.373
ESP,Fiscal balance,2031,0.373
ESP,Gen gov debt,2027,96.189
ESP,Gen gov debt,2028,94.21
ESP,Gen gov debt,2029,92.943
ESP,Gen gov debt,2030,91.668
ESP,Gen gov debt,2031,90.443
SWE,GDP growth,2027,1.906
SWE,GDP growth,2028,2.123
SWE,GDP growth,2029,1.863
SWE,GDP growth,2030,1.833
SWE,GDP growth,2031,1.754
SWE,Inflation,2027,1.833
SWE,Inflation,2028,2.632
SWE,Inflation,2029,2.0
SWE,Inflation,2030,2.0
SWE,Inflation,2031,2.0
SWE,Fiscal balance,2027,-1.87
SWE,Fiscal balance,2028,-1.191
SWE,Fiscal balance,2029,-0.548
SWE,Fiscal balance,2030,-0.548
SWE,Fiscal balance,2031,-0.548
SWE,Fiscal balance,2027,-1.95
SWE,Fiscal balance,2028,-1.31
SWE,Fiscal balance,2029,-0.684
SWE,Fiscal balance,2030,-0.701
SWE,Fiscal balance,2031,-0.717
SWE,Gen gov debt,2027,38.155
SWE,Gen gov debt,2028,38.273
SWE,Gen gov debt,2029,37.804
SWE,Gen gov debt,2030,37.189
SWE,Gen gov debt,2031,36.561
CHE,GDP growth,2027,1.344
CHE,GDP growth,2028,1.83
CHE,GDP growth,2029,1.225
CHE,GDP growth,2030,1.835
CHE,GDP growth,2031,1.225
CHE,Inflation,2027,0.535
CHE,Inflation,2028,0.646
CHE,Inflation,2029,0.742
CHE,Inflation,2030,0.709
CHE,Inflation,2031,0.7
CHE,Fiscal balance,2027,0.321
CHE,Fiscal balance,2028,0.263
CHE,Fiscal balance,2029,0.231
CHE,Fiscal balance,2030,0.179
CHE,Fiscal balance,2031,0.179
CHE,Fiscal balance,2027,0.428
CHE,Fiscal balance,2028,0.359
CHE,Fiscal balance,2029,0.318
CHE,Fiscal balance,2030,0.256
CHE,Fiscal balance,2031,0.248
CHE,Gen gov debt,2027,37.472
CHE,Gen gov debt,2028,36.301
CHE,Gen gov debt,2029,35.371
CHE,Gen gov debt,2030,34.3
CHE,Gen gov debt,2031,33.458
GBR,GDP growth,2027,1.297
GBR,GDP growth,2028,1.633
GBR,GDP growth,2029,1.615
GBR,GDP growth,2030,1.539
GBR,GDP growth,2031,1.411
GBR,Inflation,2027,2.418
GBR,Inflation,2028,2.0
GBR,Inflation,2029,2.0
GBR,Inflation,2030,2.0
GBR,Inflation,2031,2.0
GBR,Fiscal balance,2027,-3.121
GBR,Fiscal balance,2028,-2.624
GBR,Fiscal balance,2029,-1.966
GBR,Fiscal balance,2030,-1.702
GBR,Fiscal balance,2031,-1.605
GBR,Fiscal balance,2027,-0.393
GBR,Fiscal balance,2028,0.241
GBR,Fiscal balance,2029,1.041
GBR,Fiscal balance,2030,1.344
GBR,Fiscal balance,2031,1.356
GBR,Gen gov debt,2027,104.078
GBR,Gen gov debt,2028,103.918
GBR,Gen gov debt,2029,103.499
GBR,Gen gov debt,2030,102.935
GBR,Gen gov debt,2031,102.552
USA,GDP growth,2027,2.1
USA,GDP growth,2028,2.1
USA,GDP growth,2029,1.881
USA,GDP growth,2030,1.753
USA,GDP growth,2031,1.755
USA,Inflation,2027,2.141
USA,Inflation,2028,2.184
USA,Inflation,2029,2.188
USA,Inflation,2030,2.19
USA,Inflation,2031,2.184
USA,Fiscal balance,2027,-7.374
USA,Fiscal balance,2028,-7.595
USA,Fiscal balance,2029,-7.453
USA,Fiscal balance,2030,-7.465
USA,Fiscal balance,2031,-7.389
USA,Fiscal balance,2027,-3.517
USA,Fiscal balance,2028,-3.656
USA,Fiscal balance,2029,-3.369
USA,Fiscal balance,2030,-3.266
USA,Fiscal balance,2031,-3.081
USA,Gen gov debt,2027,128.576
USA,Gen gov debt,2028,132.134
USA,Gen gov debt,2029,135.527
USA,Gen gov debt,2030,138.897
USA,Gen gov debt,2031,142.113
BGD,GDP growth,2027,4.258
BGD,GDP growth,2028,4.548
BGD,GDP growth,2029,5.704
BGD,GDP growth,2030,5.75
BGD,GDP growth,2031,6.07
BGD,Inflation,2027,5.97
BGD,Inflation,2028,4.971
BGD,Inflation,2029,5.327
BGD,Inflation,2030,5.472
BGD,Inflation,2031,5.5
BGD,Fiscal balance,2027,-4.705
BGD,Fiscal balance,2028,-5.485
BGD,Fiscal balance,2029,-5.61
BGD,Fiscal balance,2030,-5.728
BGD,Fiscal balance,2031,-5.654
BGD,Fiscal balance,2027,-2.2
BGD,Fiscal balance,2028,-2.6
BGD,Fiscal balance,2029,-2.6
BGD,Fiscal balance,2030,-2.6
BGD,Fiscal balance,2031,-2.6
BGD,Gen gov debt,2027,43.171
BGD,Gen gov debt,2028,45.278
BGD,Gen gov debt,2029,46.633
BGD,Gen gov debt,2030,47.888
BGD,Gen gov debt,2031,48.799
BTN,GDP growth,2027,6.327
BTN,GDP growth,2028,5.844
BTN,GDP growth,2029,7.163
BTN,GDP growth,2030,6.439
BTN,GDP growth,2031,5.557
BTN,Inflation,2027,4.25
BTN,Inflation,2028,4.0
BTN,Inflation,2029,4.0
BTN,Inflation,2030,4.0
BTN,Inflation,2031,4.0
BTN,Fiscal balance,2027,-4.284
BTN,Fiscal balance,2028,-4.162
BTN,Fiscal balance,2029,-5.636
BTN,Fiscal balance,2030,-4.6
BTN,Fiscal balance,2031,-5.032
BTN,Fiscal balance,2027,-1.774
BTN,Fiscal balance,2028,-0.647
BTN,Fiscal balance,2029,-1.226
BTN,Fiscal balance,2030,0.499
BTN,Fiscal balance,2031,0.2
BTN,Gen gov debt,2027,122.909
BTN,Gen gov debt,2028,122.45
BTN,Gen gov debt,2029,136.865
BTN,Gen gov debt,2030,130.962
BTN,Gen gov debt,2031,123.962
BRN,GDP growth,2027,2.65
BRN,GDP growth,2028,2.5
BRN,GDP growth,2029,2.6
BRN,GDP growth,2030,3.0
BRN,GDP growth,2031,2.9
BRN,Inflation,2027,1.1
BRN,Inflation,2028,1.0
BRN,Inflation,2029,1.0
BRN,Inflation,2030,1.0
BRN,Inflation,2031,1.0
BRN,Fiscal balance,2027,-9.803
BRN,Fiscal balance,2028,-9.602
BRN,Fiscal balance,2029,-9.25
BRN,Fiscal balance,2030,-9.11
BRN,Fiscal balance,2031,-9.022
BRN,Fiscal balance,2027,-9.803
BRN,Fiscal balance,2028,-9.602
BRN,Fiscal balance,2029,-9.25
BRN,Fiscal balance,2030,-9.11
BRN,Fiscal balance,2031,-9.022
BRN,Gen gov debt,2027,1.426
BRN,Gen gov debt,2028,1.373
BRN,Gen gov debt,2029,1.326
BRN,Gen gov debt,2030,1.277
BRN,Gen gov debt,2031,1.227
KHM,GDP growth,2027,4.721
KHM,GDP growth,2028,4.991
KHM,GDP growth,2029,5.259
KHM,GDP growth,2030,5.361
KHM,GDP growth,2031,5.461
KHM,Inflation,2027,1.939
KHM,Inflation,2028,2.5
KHM,Inflation,2029,2.9
KHM,Inflation,2030,3.0
KHM,Inflation,2031,3.0
KHM,Fiscal balance,2027,-3.564
KHM,Fiscal balance,2028,-3.501
KHM,Fiscal balance,2029,-3.423
KHM,Fiscal balance,2030,-3.345
KHM,Fiscal balance,2031,-3.31
KHM,Fiscal balance,2027,-3.248
KHM,Fiscal balance,2028,-3.178
KHM,Fiscal balance,2029,-3.105
KHM,Fiscal balance,2030,-3.029
KHM,Fiscal balance,2031,-2.95
KHM,Gen gov debt,2027,27.187
KHM,Gen gov debt,2028,27.268
KHM,Gen gov debt,2029,27.074
KHM,Gen gov debt,2030,27.234
KHM,Gen gov debt,2031,27.783
CHN,GDP growth,2027,4.033
CHN,GDP growth,2028,4.0
CHN,GDP growth,2029,3.665
CHN,GDP growth,2030,3.348
CHN,GDP growth,2031,3.291
CHN,Inflation,2027,1.514
CHN,Inflation,2028,1.805
CHN,Inflation,2029,1.902
CHN,Inflation,2030,1.997
CHN,Inflation,2031,1.992
CHN,Fiscal balance,2027,-8.358
CHN,Fiscal balance,2028,-8.208
CHN,Fiscal balance,2029,-8.031
CHN,Fiscal balance,2030,-7.976
CHN,Fiscal balance,2031,-8.014
CHN,Fiscal balance,2027,-7.11
CHN,Fiscal balance,2028,-6.866
CHN,Fiscal balance,2029,-6.601
CHN,Fiscal balance,2030,-6.457
CHN,Fiscal balance,2031,-6.407
CHN,Gen gov debt,2027,112.475
CHN,Gen gov debt,2028,116.742
CHN,Gen gov debt,2029,120.348
CHN,Gen gov debt,2030,123.789
CHN,Gen gov debt,2031,126.786
FJI,GDP growth,2027,2.71
FJI,GDP growth,2028,2.959
FJI,GDP growth,2029,3.107
FJI,GDP growth,2030,3.269
FJI,GDP growth,2031,3.384
FJI,Inflation,2027,3.0
FJI,Inflation,2028,2.5
FJI,Inflation,2029,2.5
FJI,Inflation,2030,2.5
FJI,Inflation,2031,2.5
FJI,Fiscal balance,2027,-5.061
FJI,Fiscal balance,2028,-3.848
FJI,Fiscal balance,2029,-2.727
FJI,Fiscal balance,2030,-2.266
FJI,Fiscal balance,2031,-1.758
FJI,Fiscal balance,2027,-0.973
FJI,Fiscal balance,2028,0.356
FJI,Fiscal balance,2029,1.497
FJI,Fiscal balance,2030,1.98
FJI,Fiscal balance,2031,2.467
FJI,Gen gov debt,2027,83.562
FJI,Gen gov debt,2028,83.026
FJI,Gen gov debt,2029,81.368
FJI,Gen gov debt,2030,79.255
FJI,Gen gov debt,2031,76.027
IND,GDP growth,2027,6.529
IND,GDP growth,2028,6.5
IND,GDP growth,2029,6.52
IND,GDP growth,2030,6.503
IND,GDP growth,2031,6.514
IND,Inflation,2027,4.0
IND,Inflation,2028,4.0
IND,Inflation,2029,4.0
IND,Inflation,2030,4.0
IND,Inflation,2031,4.0
IND,Fiscal balance,2027,-7.308
IND,Fiscal balance,2028,-7.113
IND,Fiscal balance,2029,-6.907
IND,Fiscal balance,2030,-6.74
IND,Fiscal balance,2031,-6.552
IND,Fiscal balance,2027,-1.851
IND,Fiscal balance,2028,-1.759
IND,Fiscal balance,2029,-1.668
IND,Fiscal balance,2030,-1.577
IND,Fiscal balance,2031,-1.515
IND,Gen gov debt,2027,82.546
IND,Gen gov debt,2028,81.663
IND,Gen gov debt,2029,80.609
IND,Gen gov debt,2030,79.465
IND,Gen gov debt,2031,77.689
IDN,GDP growth,2027,5.07
IDN,GDP growth,2028,5.169
IDN,GDP growth,2029,5.185
IDN,GDP growth,2030,5.223
IDN,GDP growth,2031,5.232
IDN,Inflation,2027,2.578
IDN,Inflation,2028,2.517
IDN,Inflation,2029,2.517
IDN,Inflation,2030,2.517
IDN,Inflation,2031,2.517
IDN,Fiscal balance,2027,-2.935
IDN,Fiscal balance,2028,-2.906
IDN,Fiscal balance,2029,-2.877
IDN,Fiscal balance,2030,-2.838
IDN,Fiscal balance,2031,-2.833
IDN,Fiscal balance,2027,-0.651
IDN,Fiscal balance,2028,-0.603
IDN,Fiscal balance,2029,-0.584
IDN,Fiscal balance,2030,-0.526
IDN,Fiscal balance,2031,-0.544
IDN,Gen gov debt,2027,41.788
IDN,Gen gov debt,2028,42.002
IDN,Gen gov debt,2029,42.142
IDN,Gen gov debt,2030,42.196
IDN,Gen gov debt,2031,42.217
KIR,GDP growth,2027,2.407
KIR,GDP growth,2028,2.157
KIR,GDP growth,2029,2.151
KIR,GDP growth,2030,2.101
KIR,GDP growth,2031,2.109
KIR,Inflation,2027,3.1
KIR,Inflation,2028,2.5
KIR,Inflation,2029,2.0
KIR,Inflation,2030,2.0
KIR,Inflation,2031,1.8
KIR,Fiscal balance,2027,-15.25
KIR,Fiscal balance,2028,-12.572
KIR,Fiscal balance,2029,-14.659
KIR,Fiscal balance,2030,-14.532
KIR,Fiscal balance,2031,-14.72
KIR,Fiscal balance,2027,-15.159
KIR,Fiscal balance,2028,-12.402
KIR,Fiscal balance,2029,-14.439
KIR,Fiscal balance,2030,-14.241
KIR,Fiscal balance,2031,-14.385
KIR,Gen gov debt,2027,15.805
KIR,Gen gov debt,2028,21.163
KIR,Gen gov debt,2029,28.619
KIR,Gen gov debt,2030,33.16
KIR,Gen gov debt,2031,37.75
LAO,GDP growth,2027,3.959
LAO,GDP growth,2028,3.503
LAO,GDP growth,2029,3.002
LAO,GDP growth,2030,2.983
LAO,GDP growth,2031,2.97
LAO,Inflation,2027,8.485
LAO,Inflation,2028,8.01
LAO,Inflation,2029,8.143
LAO,Inflation,2030,8.697
LAO,Inflation,2031,8.998
LAO,Fiscal balance,2027,1.785
LAO,Fiscal balance,2028,1.716
LAO,Fiscal balance,2029,1.684
LAO,Fiscal balance,2030,1.762
LAO,Fiscal balance,2031,1.677
LAO,Fiscal balance,2027,3.661
LAO,Fiscal balance,2028,3.494
LAO,Fiscal balance,2029,3.29
LAO,Fiscal balance,2030,3.212
LAO,Fiscal balance,2031,3.019
LAO,Gen gov debt,2027,68.626
LAO,Gen gov debt,2028,63.104
LAO,Gen gov debt,2029,58.76
LAO,Gen gov debt,2030,54.721
LAO,Gen gov debt,2031,51.683
MYS,GDP growth,2027,4.3
MYS,GDP growth,2028,4.3
MYS,GDP growth,2029,4.3
MYS,GDP growth,2030,4.3
MYS,GDP growth,2031,4.3
MYS,Inflation,2027,2.01
MYS,Inflation,2028,1.994
MYS,Inflation,2029,1.994
MYS,Inflation,2030,1.994
MYS,Inflation,2031,1.994
MYS,Fiscal balance,2027,-3.019
MYS,Fiscal balance,2028,-2.745
MYS,Fiscal balance,2029,-2.74
MYS,Fiscal balance,2030,-2.734
MYS,Fiscal balance,2031,-2.722
MYS,Fiscal balance,2027,-0.799
MYS,Fiscal balance,2028,-0.523
MYS,Fiscal balance,2029,-0.519
MYS,Fiscal balance,2030,-0.51
MYS,Fiscal balance,2031,-0.496
MYS,Gen gov debt,2027,68.701
MYS,Gen gov debt,2028,67.75
MYS,Gen gov debt,2029,66.866
MYS,Gen gov debt,2030,66.106
MYS,Gen gov debt,2031,65.448
MDV,GDP growth,2027,4.587
MDV,GDP growth,2028,4.152
MDV,GDP growth,2029,4.019
MDV,GDP growth,2030,3.985
MDV,GDP growth,2031,4.013
MDV,Inflation,2027,2.0
MDV,Inflation,2028,2.0
MDV,Inflation,2029,2.0
MDV,Inflation,2030,2.0
MDV,Inflation,2031,2.3
MDV,Fiscal balance,2027,-9.087
MDV,Fiscal balance,2028,-8.88
MDV,Fiscal balance,2029,-8.673
MDV,Fiscal balance,2030,-8.356
MDV,Fiscal balance,2031,-6.721
MDV,Fiscal balance,2027,-5.817
MDV,Fiscal balance,2028,-5.379
MDV,Fiscal balance,2029,-5.09
MDV,Fiscal balance,2030,-4.797
MDV,Fiscal balance,2031,-2.888
MDV,Gen gov debt,2027,130.272
MDV,Gen gov debt,2028,131.428
MDV,Gen gov debt,2029,132.473
MDV,Gen gov debt,2030,133.212
MDV,Gen gov debt,2031,131.9
MHL,GDP growth,2027,1.965
MHL,GDP growth,2028,1.916
MHL,GDP growth,2029,1.79
MHL,GDP growth,2030,1.605
MHL,GDP growth,2031,1.605
MHL,Inflation,2027,5.48
MHL,Inflation,2028,2.434
MHL,Inflation,2029,2.422
MHL,Inflation,2030,2.422
MHL,Inflation,2031,2.422
MHL,Fiscal balance,2027,0.238
MHL,Fiscal balance,2028,0.121
MHL,Fiscal balance,2029,0.056
MHL,Fiscal balance,2030,0.019
MHL,Fiscal balance,2031,-3.707
MHL,Fiscal balance,2027,0.447
MHL,Fiscal balance,2028,0.318
MHL,Fiscal balance,2029,0.243
MHL,Fiscal balance,2030,0.199
MHL,Fiscal balance,2031,-3.534
MHL,Gen gov debt,2027,15.349
MHL,Gen gov debt,2028,14.588
MHL,Gen gov debt,2029,13.943
MHL,Gen gov debt,2030,13.384
MHL,Gen gov debt,2031,16.572
FSM,GDP growth,2027,1.09
FSM,GDP growth,2028,1.438
FSM,GDP growth,2029,1.045
FSM,GDP growth,2030,0.662
FSM,GDP growth,2031,0.662
FSM,Inflation,2027,4.032
FSM,Inflation,2028,1.674
FSM,Inflation,2029,2.0
FSM,Inflation,2030,2.0
FSM,Inflation,2031,2.0
FSM,Fiscal balance,2027,-0.258
FSM,Fiscal balance,2028,-0.645
FSM,Fiscal balance,2029,-0.849
FSM,Fiscal balance,2030,-0.932
FSM,Fiscal balance,2031,-1.194
FSM,Fiscal balance,2027,-0.115
FSM,Fiscal balance,2028,-0.514
FSM,Fiscal balance,2029,-0.739
FSM,Fiscal balance,2030,-0.841
FSM,Fiscal balance,2031,-1.106
FSM,Gen gov debt,2027,7.35
FSM,Gen gov debt,2028,7.743
FSM,Gen gov debt,2029,8.351
FSM,Gen gov debt,2030,9.072
FSM,Gen gov debt,2031,9.538
MNG,GDP growth,2027,5.287
MNG,GDP growth,2028,5.198
MNG,GDP growth,2029,5.002
MNG,GDP growth,2030,5.008
MNG,GDP growth,2031,5.014
MNG,Inflation,2027,7.15
MNG,Inflation,2028,6.9
MNG,Inflation,2029,6.65
MNG,Inflation,2030,6.4
MNG,Inflation,2031,6.25
MNG,Fiscal balance,2027,-2.595
MNG,Fiscal balance,2028,-3.002
MNG,Fiscal balance,2029,-2.966
MNG,Fiscal balance,2030,-3.0
MNG,Fiscal balance,2031,-3.076
MNG,Fiscal balance,2027,-0.618
MNG,Fiscal balance,2028,-0.951
MNG,Fiscal balance,2029,-0.831
MNG,Fiscal balance,2030,-0.707
MNG,Fiscal balance,2031,-0.602
MNG,Gen gov debt,2027,45.821
MNG,Gen gov debt,2028,49.949
MNG,Gen gov debt,2029,50.733
MNG,Gen gov debt,2030,51.816
MNG,Gen gov debt,2031,52.335
MMR,GDP growth,2027,2.998
MMR,GDP growth,2028,2.522
MMR,GDP growth,2029,2.168
MMR,GDP growth,2030,1.812
MMR,GDP growth,2031,1.814
MMR,Inflation,2027,16.0
MMR,Inflation,2028,10.0
MMR,Inflation,2029,7.8
MMR,Inflation,2030,7.8
MMR,Inflation,2031,7.8
MMR,Fiscal balance,2027,-4.991
MMR,Fiscal balance,2028,-4.345
MMR,Fiscal balance,2029,-3.648
MMR,Fiscal balance,2030,-3.485
MMR,Fiscal balance,2031,-3.309
MMR,Fiscal balance,2027,-2.511
MMR,Fiscal balance,2028,-1.835
MMR,Fiscal balance,2029,-1.17
MMR,Fiscal balance,2030,-1.14
MMR,Fiscal balance,2031,-1.03
MMR,Gen gov debt,2027,51.901
MMR,Gen gov debt,2028,51.362
MMR,Gen gov debt,2029,50.165
MMR,Gen gov debt,2030,49.423
MMR,Gen gov debt,2031,48.517
NRU,GDP growth,2027,2.0
NRU,GDP growth,2028,1.976
NRU,GDP growth,2029,2.0
NRU,GDP growth,2030,1.984
NRU,GDP growth,2031,2.028
NRU,Inflation,2027,4.157
NRU,Inflation,2028,3.44
NRU,Inflation,2029,2.707
NRU,Inflation,2030,2.459
NRU,Inflation,2031,2.5
NRU,Fiscal balance,2027,10.322
NRU,Fiscal balance,2028,13.366
NRU,Fiscal balance,2029,13.869
NRU,Fiscal balance,2030,15.001
NRU,Fiscal balance,2031,15.515
NRU,Gen gov debt,2027,10.478
NRU,Gen gov debt,2028,8.952
NRU,Gen gov debt,2029,7.583
NRU,Gen gov debt,2030,6.485
NRU,Gen gov debt,2031,5.461
NPL,GDP growth,2027,4.564
NPL,GDP growth,2028,5.307
NPL,GDP growth,2029,5.149
NPL,GDP growth,2030,5.047
NPL,GDP growth,2031,5.042
NPL,Inflation,2027,5.029
NPL,Inflation,2028,5.0
NPL,Inflation,2029,5.0
NPL,Inflation,2030,5.0
NPL,Inflation,2031,5.0
NPL,Fiscal balance,2027,-3.32
NPL,Fiscal balance,2028,-3.178
NPL,Fiscal balance,2029,-3.096
NPL,Fiscal balance,2030,-2.993
NPL,Fiscal balance,2031,-2.978
NPL,Fiscal balance,2027,-1.789
NPL,Fiscal balance,2028,-1.663
NPL,Fiscal balance,2029,-1.582
NPL,Fiscal balance,2030,-1.47
NPL,Fiscal balance,2031,-1.479
NPL,Gen gov debt,2027,49.362
NPL,Gen gov debt,2028,48.274
NPL,Gen gov debt,2029,47.166
NPL,Gen gov debt,2030,46.149
NPL,Gen gov debt,2031,45.312
PLW,GDP growth,2027,2.8
PLW,GDP growth,2028,3.173
PLW,GDP growth,2029,2.621
PLW,GDP growth,2030,1.968
PLW,GDP growth,2031,1.972
PLW,Inflation,2027,2.645
PLW,Inflation,2028,2.113
PLW,Inflation,2029,2.14
PLW,Inflation,2030,2.1
PLW,Inflation,2031,2.1
PLW,Fiscal balance,2027,0.948
PLW,Fiscal balance,2028,0.743
PLW,Fiscal balance,2029,0.543
PLW,Fiscal balance,2030,0.071
PLW,Fiscal balance,2031,0.109
PLW,Gen gov debt,2027,50.524
PLW,Gen gov debt,2028,44.891
PLW,Gen gov debt,2029,39.89
PLW,Gen gov debt,2030,35.264
PLW,Gen gov debt,2031,28.219
PNG,GDP growth,2027,3.798
PNG,GDP growth,2028,3.232
PNG,GDP growth,2029,3.1
PNG,GDP growth,2030,3.1
PNG,GDP growth,2031,3.1
PNG,Inflation,2027,4.4
PNG,Inflation,2028,4.5
PNG,Inflation,2029,4.5
PNG,Inflation,2030,4.5
PNG,Inflation,2031,4.5
PNG,Fiscal balance,2027,-0.147
PNG,Fiscal balance,2028,-0.062
PNG,Fiscal balance,2029,0.2
PNG,Fiscal balance,2030,0.155
PNG,Fiscal balance,2031,0.173
PNG,Fiscal balance,2027,2.321
PNG,Fiscal balance,2028,2.226
PNG,Fiscal balance,2029,2.274
PNG,Fiscal balance,2030,2.039
PNG,Fiscal balance,2031,1.893
PNG,Gen gov debt,2027,46.428
PNG,Gen gov debt,2028,43.221
PNG,Gen gov debt,2029,40.109
PNG,Gen gov debt,2030,37.2
PNG,Gen gov debt,2031,34.371
PHL,GDP growth,2027,5.774
PHL,GDP growth,2028,6.078
PHL,GDP growth,2029,6.056
PHL,GDP growth,2030,6.007
PHL,GDP growth,2031,6.006
PHL,Inflation,2027,3.243
PHL,Inflation,2028,3.044
PHL,Inflation,2029,3.0
PHL,Inflation,2030,3.0
PHL,Inflation,2031,3.0
PHL,Fiscal balance,2027,-2.841
PHL,Fiscal balance,2028,-2.521
PHL,Fiscal balance,2029,-2.097
PHL,Fiscal balance,2030,-1.648
PHL,Fiscal balance,2031,-1.537
PHL,Fiscal balance,2027,-0.022
PHL,Fiscal balance,2028,0.307
PHL,Fiscal balance,2029,0.628
PHL,Fiscal balance,2030,1.064
PHL,Fiscal balance,2031,1.124
PHL,Gen gov debt,2027,59.921
PHL,Gen gov debt,2028,59.155
PHL,Gen gov debt,2029,57.99
PHL,Gen gov debt,2030,56.396
PHL,Gen gov debt,2031,54.737
WSM,GDP growth,2027,2.823
WSM,GDP growth,2028,2.467
WSM,GDP growth,2029,2.226
WSM,GDP growth,2030,2.055
WSM,GDP growth,2031,1.985
WSM,Inflation,2027,3.2
WSM,Inflation,2028,3.0
WSM,Inflation,2029,3.0
WSM,Inflation,2030,3.0
WSM,Inflation,2031,3.0
WSM,Fiscal balance,2027,-0.404
