iso3,indicator,side,rule_id,label_en,label_fr,value
VEN,Gen gov debt,risk,debt_high,Government debt above 90 % of GDP,Dette publique au-dessus de 90 % du PIB,308.747
VEN,Inflation,risk,inflation_high,Inflation above 10 %,Inflation supérieure à 10 %,254.948534781816
VEN,Political stability,risk,political_instability,Political stability below -1.0,"Stabilité politique inférieure à -1,0",-1.7404242
VEN,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.9030732
VEN,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-2.2042741
VEN,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 10.2),Chômage des jeunes sous 12 % (valeur : 10.2),10.158
VIR,GDP growth,risk,recession,Negative GDP growth,Croissance du PIB négative,-1.31123206333498
VIR,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 0.97),"Stabilité politique solide au-dessus de 0,5 (valeur : 0.97)",0.9711697
VIR,Regulatory quality,opportunity,regulatory_quality_high,Strong regulatory quality at 1.10: sound policy framework.,Qualité réglementaire solide à 1.10 : cadre politique sain.,1.1021324
VIR,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 0.58: solid legal enforcement.,État de droit solide à 0.58 : application du droit fiable.,0.5793123
VNM,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 6.3),Excédent courant au-dessus de 3 % du PIB (valeur : 6.3),6.33496605552948
VNM,Debt service,opportunity,debt_service_low,Low debt service at 7.7% of exports: manageable external burden.,Service de la dette faible a 7.7% des exports : charge externe maitrisee.,7.72326875884348
VNM,External debt,opportunity,ext_debt_low,External debt below 30 % of GNI (value: 28.8),Dette externe sous 30 % du RNB (valeur : 28.8),28.849298110528
VNM,GDP growth,opportunity,growth_strong,Strong GDP growth above 5 % (value: 7.0),Croissance du PIB soutenue au-dessus de 5 % (valeur : 7.0),7.03955197123018
VNM,Gen gov debt,opportunity,debt_low,Government debt below 40 % of GDP (value: 29.8),Dette publique sous 40 % du PIB (valeur : 29.8),29.79
VNM,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,2.37407817485002
VNM,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 1.6),Chômage faible sous 5 % (valeur : 1.6),1.602
VNM,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 6.3),Chômage des jeunes sous 12 % (valeur : 6.3),6.338
VUT,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-11.0631077358069
VUT,Debt service,opportunity,debt_service_low,Low debt service at 6.5% of exports: manageable external burden.,Service de la dette faible a 6.5% des exports : charge externe maitrisee.,6.51419321696924
VUT,Gini,opportunity,gini_low,"Low inequality (Gini below 35, value: 32.3)","Inégalités contenues (Gini sous 35, valeur : 32.3)",32.3
VUT,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 1.1),Inflation contenue sous 3 % (valeur : 1.1),1.14348948727412
VUT,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 0.96),"Stabilité politique solide au-dessus de 0,5 (valeur : 0.96)",0.960216
VUT,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 12.6),Réserves confortables au-dessus de 6 mois d'importations (valeur : 12.6),12.5956510649933
VUT,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 5.0),Chômage faible sous 5 % (valeur : 5.0),4.988
VUT,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 11.4),Chômage des jeunes sous 12 % (valeur : 11.4),11.425
WSM,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 0.69),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 0.69)",0.6881136999999999
WSM,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 5.6),Excédent courant au-dessus de 3 % du PIB (valeur : 5.6),5.57726960445615
WSM,Debt service,opportunity,debt_service_low,Low debt service at 9.0% of exports: manageable external burden.,Service de la dette faible a 9.0% des exports : charge externe maitrisee.,9.03364082612879
WSM,Gen gov debt,opportunity,debt_low,Government debt below 40 % of GDP (value: 17.1),Dette publique sous 40 % du PIB (valeur : 17.1),17.147
WSM,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 2.2),Inflation contenue sous 3 % (valeur : 2.2),2.17245530514377
WSM,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 1.24),"Stabilité politique solide au-dessus de 0,5 (valeur : 1.24)",1.2384522999999998
WSM,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 9.8),Réserves confortables au-dessus de 6 mois d'importations (valeur : 9.8),9.8192343242678
WSM,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 1.05: solid legal enforcement.,État de droit solide à 1.05 : application du droit fiable.,1.0529651
WSM,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 4.9),Chômage faible sous 5 % (valeur : 4.9),4.855
XKX,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-8.32346840516263
XKX,Debt service,opportunity,debt_service_low,Low debt service at 7.2% of exports: manageable external burden.,Service de la dette faible a 7.2% des exports : charge externe maitrisee.,7.17785302460144
XKX,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 1.6),Inflation contenue sous 3 % (valeur : 1.6),1.61944994559476
XKX,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,1.87547512717992
YEM,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-1.6358785999999998
YEM,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-7.72391058547812
YEM,Political stability,risk,political_instability,Political stability below -1.0,"Stabilité politique inférieure à -1,0",-2.7505641
YEM,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.5841279
YEM,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,1.21909636539694
YEM,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-1.9015896
YEM,Unemployment,risk,unemp_high,Unemployment above 15 %,Chômage supérieur à 15 %,16.97
YEM,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,32.172
ZAF,Gini,risk,gini_high,Gini index above 45 (high inequality),Indice de Gini supérieur à 45 (inégalités élevées),54.1
ZAF,Unemployment,risk,unemp_high,Unemployment above 15 %,Chômage supérieur à 15 %,32.279
ZAF,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,60.248
ZMB,Debt service,risk,debt_service_high,Debt service above 25 % of exports,Service de la dette au-dessus de 25 % des exports,30.4672923466845
ZMB,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,114.201909487961
ZMB,Fiscal balance,opportunity,fiscal_surplus,Fiscal surplus of 1.4% of GDP: comfortable policy space.,Excédent budgétaire de 1.4% du PIB : marge de manœuvre confortable.,1.442
ZMB,Gini,risk,gini_high,Gini index above 45 (high inequality),Indice de Gini supérieur à 45 (inégalités élevées),51.5
ZMB,Inflation,risk,inflation_high,Inflation above 10 %,Inflation supérieure à 10 %,14.9856262747939
ZMB,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.5611771
ZMB,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 10.1),Chômage des jeunes sous 12 % (valeur : 10.1),10.102
